x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,value,Timestamp
2,0,1,1,2,3,1,1,2,2,3,0,3,2,0,3,1,0,3,3,1,1,2,2,3,2,1,0,2,2,2,0,0,1,1,1,0,1,1,2,3,0,0,0,2,3,3,0,2,2,1,3,0,2,1,3,2,3,1,3,3,1,0,2,3,2,3,1,2,3,3,2,-46.69235178518787,1378
1,0,1,1,2,3,0,0,2,0,0,3,1,1,1,3,2,1,3,1,2,0,3,2,0,1,2,1,2,0,1,0,2,0,1,1,0,1,2,0,0,3,0,2,0,2,1,3,1,3,3,3,0,2,3,3,0,0,2,1,2,3,0,1,2,3,0,0,3,0,1,2,-46.78551354141823,1434
3,1,1,3,2,3,3,0,0,0,3,2,2,2,0,0,0,1,3,2,0,3,1,3,0,2,1,1,3,2,2,3,3,0,1,3,1,1,1,0,2,2,0,2,3,3,3,2,3,1,0,0,2,2,1,2,1,3,1,3,3,3,3,3,3,2,1,3,0,1,2,1,-46.92434343792696,1487
3,0,1,2,0,1,2,3,2,0,1,3,2,2,3,2,0,1,1,0,2,2,2,3,3,0,0,2,3,0,2,3,0,1,2,3,1,3,0,2,1,0,2,1,3,1,1,2,3,1,3,2,2,0,2,0,1,0,0,0,0,3,2,1,0,0,1,1,2,0,1,1,-35.89238296155547,1534
1,3,2,2,2,3,3,3,2,3,0,0,2,1,3,2,0,1,1,1,0,1,2,1,1,0,3,3,0,2,3,0,0,2,0,1,3,0,0,1,0,2,1,2,0,3,1,3,0,2,0,3,3,1,3,2,0,0,1,0,1,2,3,0,0,2,1,1,0,3,1,0,-46.74656398714014,1658
0,1,2,0,0,3,1,0,1,0,1,2,0,3,0,0,3,2,1,2,3,0,0,0,2,1,1,3,1,2,2,1,3,0,3,3,0,1,3,1,1,3,3,1,3,2,0,3,0,2,2,3,2,1,2,2,2,3,0,2,1,3,2,2,0,0,3,1,2,2,3,1,-35.44083899041969,1709
3,0,2,0,3,2,2,2,2,1,2,2,2,1,2,2,3,0,0,3,0,0,2,2,0,1,0,2,3,0,2,1,0,1,1,1,0,0,3,2,1,2,2,1,1,3,1,3,1,3,3,1,0,0,3,3,2,0,0,0,2,1,1,2,0,3,2,1,3,1,1,0,-48.18686284768378,1758
3,0,1,0,2,1,1,0,2,3,1,1,0,1,3,3,1,3,0,2,3,0,0,3,1,2,0,3,2,0,1,1,0,2,3,1,1,1,1,3,0,3,1,0,0,3,3,2,3,0,2,0,1,3,2,1,0,2,0,0,1,2,3,0,2,0,1,3,0,1,0,1,-47.34178336012819,1805
2,0,3,2,1,1,3,1,3,0,0,0,3,2,0,0,1,0,1,2,0,1,2,3,2,3,1,3,0,3,2,0,1,2,1,0,2,2,2,0,0,1,2,2,0,2,3,0,0,0,2,0,0,0,1,1,1,1,2,2,0,0,3,0,3,0,0,0,1,0,1,3,-60.27604150115228,1854
2,2,1,3,0,2,3,2,1,1,1,0,3,3,2,1,2,0,3,1,0,0,0,3,3,0,0,3,3,1,0,3,0,1,0,3,1,2,2,1,0,1,0,3,1,3,0,2,1,0,2,1,1,1,2,2,3,3,1,3,0,0,2,1,0,0,2,2,0,0,0,2,-46.77966547170529,1905
2,1,3,1,1,3,1,3,0,3,2,1,0,1,0,0,2,1,0,3,0,2,1,1,0,3,0,3,3,2,2,3,1,2,2,0,3,1,2,0,2,0,2,3,3,0,0,0,0,2,3,1,3,2,3,2,1,1,0,3,2,0,0,0,2,3,3,0,3,3,1,2,-32.569380805651996,1958
1,3,2,3,0,1,1,3,1,2,2,3,1,3,0,1,0,1,2,1,0,1,2,1,3,3,0,0,3,2,3,0,3,1,2,1,2,0,3,3,3,1,2,0,3,0,0,3,1,3,3,0,0,3,3,3,0,2,0,1,2,2,1,1,2,3,1,2,1,0,3,2,-48.69745432171481,2011
2,3,0,0,3,2,3,3,0,1,1,2,0,2,0,2,0,0,3,3,0,2,1,2,0,0,3,2,2,1,0,3,0,3,2,0,1,3,0,2,3,3,3,2,3,0,3,2,3,2,1,0,0,1,0,0,3,0,2,0,3,2,3,2,3,0,0,2,3,2,1,2,-46.831868624141876,2062
2,1,2,0,3,0,1,0,2,1,3,1,1,3,2,3,1,0,1,0,3,0,3,3,0,1,2,1,1,1,3,0,3,0,0,1,0,1,0,3,3,2,3,0,1,3,1,1,3,2,3,1,3,3,1,3,1,0,0,1,2,1,1,1,3,0,3,1,0,2,0,0,-47.123749514247024,2198
3,1,2,1,2,0,1,1,3,1,3,3,2,1,2,2,1,2,2,2,0,0,1,3,0,2,2,3,1,3,2,0,2,3,1,2,2,0,2,3,2,2,3,0,3,1,0,0,2,2,0,1,1,1,3,3,3,1,0,2,0,3,1,1,0,3,0,0,2,1,3,0,-46.28578037846003,2249
