x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
1,2,1,1,1,2,2,1,1,0,2,1,0,1,0,0,2,0,2,2,3,2,3,0,-0.3276081896748093,1052
3,3,0,3,2,1,3,0,0,1,0,1,1,3,3,2,1,3,3,3,0,1,3,2,-0.3276081896748093,1069
0,1,0,0,2,3,1,2,3,3,2,0,2,1,0,2,3,0,3,1,1,0,3,0,-0.22137914476624854,1084
0,3,2,1,0,0,0,1,0,1,3,0,1,1,3,2,3,1,0,1,3,1,3,3,-0.027174773568170774,1100
1,3,2,1,2,1,1,1,1,0,2,2,0,0,0,1,1,2,2,2,0,3,3,3,-0.3276081896748093,1118
2,0,0,0,1,2,2,1,2,0,3,1,0,3,2,2,0,2,1,1,2,3,3,0,-0.549081209550097,1135
0,1,2,3,3,1,2,1,0,2,1,1,0,1,1,0,2,2,1,1,2,0,3,3,-0.1904424603038143,1153
0,2,1,3,1,2,1,2,2,2,1,0,0,3,0,3,1,1,3,0,2,3,3,1,-0.22137914476624865,1169
1,0,3,2,3,0,1,0,1,2,1,1,3,3,0,3,1,2,3,1,0,2,2,0,-0.3276081896748093,1185
0,1,0,1,0,0,2,1,2,0,3,2,0,3,0,1,3,3,3,1,2,2,2,1,-0.19724526910371842,1202
3,2,3,3,3,0,1,1,2,0,3,3,2,3,1,2,2,0,1,0,2,2,2,0,-0.35174206533733954,1219
0,1,0,0,0,1,2,2,2,1,1,0,1,2,2,3,2,3,3,3,0,3,3,2,-0.30150623231016094,1235
3,0,2,0,2,3,2,0,1,0,1,2,1,0,0,3,0,0,3,1,3,0,0,2,-0.5322325263261052,1251
1,0,2,1,1,3,3,1,0,1,2,2,2,0,3,3,2,3,2,1,0,1,1,3,-0.19724526910371842,1268
3,2,1,0,0,2,1,1,1,0,3,0,0,0,3,3,0,0,1,0,2,3,2,0,-0.3276081896748093,1285
3,1,1,2,2,3,1,2,0,1,1,1,3,1,1,1,0,3,3,2,0,1,0,3,-0.37680583554617686,1305
0,3,3,2,3,3,1,1,0,1,3,3,2,0,0,1,3,3,3,3,2,3,1,2,-0.3276081896748093,1323
2,2,0,3,2,0,3,1,3,0,0,2,2,3,3,3,2,1,1,1,0,0,3,3,-0.19724526910371842,1342
2,1,2,3,3,1,3,1,1,3,1,2,0,1,1,3,1,1,1,2,3,2,0,2,-0.22137914476624865,1359
3,1,2,0,0,1,0,3,3,0,0,2,0,3,3,1,2,3,1,3,3,1,2,0,-0.3276081896748093,1377
3,1,2,0,2,0,3,3,3,2,3,3,3,3,0,0,3,3,2,1,3,0,0,1,-0.16537869009497685,1394
1,1,2,0,2,1,2,1,0,0,1,2,3,0,2,1,3,1,2,2,3,1,1,3,-0.3276081896748093,1411
2,0,0,0,0,2,2,1,1,0,0,1,3,2,2,2,3,3,0,0,2,0,1,2,-0.46477391904580445,1431
3,3,0,1,1,1,3,2,3,1,3,3,1,3,2,1,1,2,0,1,0,2,3,2,-0.3276081896748093,1450
1,2,3,3,2,0,0,0,3,2,0,3,0,1,3,0,3,2,1,0,2,3,1,1,-0.3276081896748093,1468
2,3,1,2,1,2,3,0,2,2,2,0,0,3,0,2,1,1,3,0,2,1,3,2,-0.27841054380344177,1485
0,2,1,3,2,3,0,2,2,0,1,2,1,3,3,0,3,1,2,3,1,3,3,3,-0.22818195356615278,1502
3,2,2,3,2,1,2,1,1,3,1,2,1,0,0,1,0,0,1,1,1,1,3,2,-0.30451250116809014,1521
3,2,3,2,2,0,2,2,2,0,3,0,1,1,0,3,1,1,0,3,1,3,1,0,-0.3276081896748093,1539
1,2,3,1,3,3,2,3,3,3,2,3,1,2,3,2,1,2,0,3,2,1,0,0,-0.3276081896748093,1558
0,0,0,1,1,0,1,2,0,3,3,0,3,0,0,1,2,1,0,0,2,1,1,1,-0.1904424603038143,1575
3,3,0,3,0,3,3,0,0,0,1,3,2,0,1,1,0,3,3,0,3,2,3,1,-0.3276081896748093,1593
2,2,1,1,3,0,3,0,1,3,0,3,3,3,3,2,0,1,2,3,2,3,1,2,-0.3276081896748093,1611
2,1,1,3,1,1,1,0,2,1,0,1,1,3,2,2,1,0,2,0,2,2,0,2,-0.6280416057814479,1628
0,0,3,2,3,0,0,0,2,1,2,3,0,2,3,0,0,3,1,2,0,1,1,3,-0.3458691510837426,1647
3,3,1,0,3,3,3,1,2,2,0,2,1,3,3,0,2,2,3,2,1,2,0,3,-0.34328293879635013,1665
1,1,0,1,0,0,0,1,2,3,3,3,0,0,3,2,0,1,3,0,3,1,0,1,-0.3276081896748093,1682
1,1,1,3,0,3,0,0,0,1,3,1,0,2,3,0,3,3,0,3,1,0,3,2,-0.3276081896748093,1701
1,0,0,0,0,2,2,1,3,2,1,3,0,2,2,3,1,1,2,1,0,0,2,0,-0.3276081896748093,1718
1,3,1,3,0,0,3,2,2,0,0,0,1,3,2,0,1,2,0,1,3,0,3,1,-0.19724526910371842,1733
0,0,1,3,2,0,1,3,1,3,0,3,2,2,2,0,0,2,0,0,2,0,0,3,-0.27841054380344177,1748
2,1,0,3,3,2,2,3,3,2,1,3,1,2,2,2,2,1,2,0,0,1,0,1,-0.3276081896748093,1766
3,2,1,1,0,3,1,1,2,0,3,2,1,0,1,3,3,0,3,2,0,2,0,3,-0.4250663440813478,1784
2,2,3,2,3,2,1,0,2,3,3,3,0,1,1,2,1,2,0,1,2,1,1,1,-0.3276081896748093,1802
3,0,1,3,0,2,2,3,0,2,1,0,1,2,2,2,2,2,2,2,0,1,2,3,-0.4579711102459002,1819
2,1,2,3,2,0,2,1,1,2,0,1,1,2,1,1,1,2,0,2,1,2,1,1,-0.35854487413724373,1835
1,2,3,2,2,1,2,2,1,0,2,0,2,2,3,2,2,1,2,0,1,3,0,0,-0.19724526910371842,1851
0,1,3,3,0,1,1,2,2,2,3,1,2,0,1,1,1,3,0,1,0,2,0,0,-0.3276081896748093,1868
3,0,1,0,0,2,1,2,3,0,3,0,0,0,3,0,2,0,1,2,3,2,1,1,-0.19044246030381418,1883
1,2,3,1,1,2,0,2,1,2,1,1,2,0,0,2,2,3,3,2,3,3,0,0,-0.19724526910371842,1900
1,3,1,0,2,1,2,3,3,1,0,3,0,3,1,0,2,0,2,1,0,1,3,1,-0.19724526910371842,1917
3,2,0,3,0,2,0,0,2,1,3,0,2,2,2,2,1,3,0,2,3,0,3,0,-0.3276081896748093,1932
0,0,3,1,2,1,3,1,0,2,1,2,0,2,1,2,1,1,0,3,2,1,0,3,-0.3276081896748093,1947
3,1,2,2,1,0,3,3,1,0,0,3,1,1,2,2,2,0,0,2,3,0,3,0,-0.3276081896748093,1964
1,2,2,1,2,2,3,1,1,3,1,1,1,2,1,0,0,3,2,1,2,1,3,3,-0.3276081896748093,1982
3,3,2,1,3,3,1,0,1,2,0,0,2,3,2,0,2,2,3,1,0,0,1,3,-0.04181857832379021,1998
2,0,0,2,1,2,3,2,0,0,3,2,3,2,2,1,2,3,1,3,2,2,1,3,-0.3585448741372437,2014
0,0,2,3,3,3,0,0,3,0,3,0,3,1,0,1,1,0,0,0,0,1,2,1,-0.3276081896748093,2028
0,3,3,1,0,1,3,2,2,1,2,1,2,2,1,2,3,3,3,0,0,1,1,2,-0.27841054380344177,2045
0,0,0,1,3,0,1,3,2,0,1,0,1,0,2,3,1,1,0,3,3,0,1,3,-0.4579711102459002,2060
0,2,1,0,0,2,1,0,0,0,0,1,2,2,3,3,2,0,2,2,0,3,3,3,-0.16630858464128417,2075
1,0,0,0,1,0,2,0,2,2,0,0,1,2,3,3,2,2,0,2,3,1,3,3,0.25298596308539534,2089
1,1,0,2,2,3,0,1,3,2,2,2,2,3,0,0,1,3,2,2,3,1,1,2,-0.3276081896748093,2105
0,1,2,0,0,1,3,0,1,1,0,3,3,0,2,3,3,3,1,2,3,0,2,1,-0.3276081896748093,2123
1,2,0,0,3,3,2,2,0,1,0,2,2,2,0,2,0,1,3,1,3,1,3,1,-0.3276081896748093,2138
2,2,2,2,0,1,3,3,0,2,1,0,1,1,3,3,1,3,0,0,2,2,0,0,-0.43383723458337,2154
0,1,2,2,0,1,0,2,0,2,1,0,3,2,3,3,3,2,2,1,3,0,3,3,-0.37680583554617686,2174
0,3,1,1,1,0,2,1,3,3,0,1,3,0,0,3,2,1,0,2,0,3,3,3,-0.3276009468849198,2190
3,1,2,1,1,1,2,0,1,0,2,3,2,1,2,2,1,0,0,3,0,3,1,1,-0.48303488045473764,2206
1,0,1,0,3,0,2,1,3,3,0,3,2,2,2,2,2,3,3,1,2,0,0,0,-0.3276081896748093,2221
2,1,2,0,3,0,0,3,3,2,0,1,3,0,3,0,1,1,2,0,3,3,2,1,-0.19044246030381418,2238
2,3,3,2,3,0,0,2,3,2,1,0,2,1,3,3,1,0,3,1,0,3,1,0,-0.27841054380344177,2254
3,3,1,2,0,3,2,1,2,0,2,3,0,0,3,0,1,2,0,3,2,0,0,3,-0.37680583554617686,2270
0,0,0,2,1,1,3,2,2,1,3,2,3,2,3,0,0,1,1,1,2,0,0,0,-0.035015769523885965,2285
1,3,1,1,1,2,0,2,0,0,2,2,1,1,0,1,2,0,2,1,2,1,1,2,-0.3276081896748093,2300
1,1,3,1,1,2,3,3,2,1,3,0,1,1,3,2,3,3,0,3,1,0,2,0,-0.19044246030381418,2318
1,1,2,2,2,0,2,1,1,0,2,3,3,1,0,1,1,1,3,1,1,0,3,0,-0.3276081896748093,2336
3,0,0,0,2,2,2,2,3,1,1,0,3,0,2,3,2,3,3,0,1,1,1,1,-0.3276081896748093,2352
2,3,2,0,0,2,1,3,3,1,0,1,3,3,2,1,1,2,3,1,2,3,2,2,-0.3276081896748093,2368
2,2,0,2,2,1,0,1,2,0,2,1,1,3,0,0,0,1,0,1,0,3,2,0,-0.30464824811473024,2382
0,3,2,3,2,1,3,3,1,0,0,1,3,1,2,1,2,1,3,0,0,0,1,0,-0.4579711102459002,2465
3,0,3,0,3,1,2,2,0,2,0,0,0,0,3,2,3,0,3,3,0,3,3,0,-0.19724526910371842,2480
1,3,1,3,1,0,0,2,2,3,2,0,1,2,1,3,0,1,3,0,0,1,0,3,-0.22137914476624865,2496
2,1,0,1,0,1,1,0,1,2,1,2,3,3,2,2,2,0,0,2,2,2,2,2,-0.3276081896748093,2511
2,3,2,0,0,2,2,1,3,3,0,2,0,2,3,3,2,0,3,0,2,3,3,0,-0.3276081896748093,2527
0,1,3,2,2,2,2,0,2,0,1,1,3,0,3,2,2,1,0,2,3,2,2,3,-0.7505635303968236,2544
2,0,2,2,3,3,3,1,1,0,3,0,1,1,0,0,1,0,1,1,3,1,0,0,-0.43383723458337,2560
2,2,2,3,3,0,3,0,0,2,2,1,3,2,0,1,3,2,0,3,1,1,3,1,-0.2155062305126516,2577
1,2,1,1,3,0,2,0,1,3,1,3,3,3,1,2,1,0,1,2,3,3,3,1,-0.4579711102459002,2594
1,2,0,3,2,2,2,3,1,3,1,0,2,3,3,2,0,2,0,0,3,0,3,0,-0.4579711102459002,2609
2,2,2,0,1,0,0,3,3,3,2,1,1,1,1,3,3,2,3,2,0,1,2,0,-0.3276081896748093,2624
3,2,2,2,3,0,0,2,0,2,1,0,1,2,2,3,1,3,3,3,0,1,2,2,-0.5334064604285564,2639
3,3,2,2,1,2,2,0,1,1,2,1,1,3,2,3,3,0,2,1,2,3,1,1,-0.3276081896748093,2655
